id,name,lng,lat
StopArea:OCE87474007,Brest,-4.480306,48.38762
StopArea:OCE87474098,Quimper,-4.092103,47.994455
StopArea:OCE87474155,Rosporden,-3.832702,47.960224
StopArea:OCE87474239,Landerneau,-4.256528,48.453572
StopArea:OCE87474338,Morlaix,-3.832514,48.57797
StopArea:OCE87476002,Lorient,-3.366221,47.755597
StopArea:OCE87476200,Auray,-2.999363,47.680085
StopArea:OCE87476317,Quimperlé,-3.552693,47.869375
StopArea:OCE87476606,Vannes,-2.75245,47.665169
StopArea:OCE87478073,Dol-de-Bretagne,-1.750536,48.54425
StopArea:OCE87478107,Saint-Malo,-2.004158,48.646859
StopArea:OCE87478404,Laval,-0.760929,48.076255
StopArea:OCE87481002,Nantes,-1.542077,47.217491
StopArea:OCE87481192,Ancenis,-1.177763,47.369334
StopArea:OCE87481705,Saint-Nazaire,-2.211079,47.286489
StopArea:OCE87481747,Pornichet,-2.344865,47.27043
StopArea:OCE87481754,La Baule-Escoublac,-2.38921,47.288459
StopArea:OCE87481762,Le Pouliguen,-2.433126,47.282504
StopArea:OCE87481788,Le Croisic,-2.50734,47.289889
StopArea:OCE87484006,Angers Saint-Laud,-0.55677,47.464649
StopArea:OCE87485003,La Rochelle,-1.145853,46.152705
StopArea:OCE87485227,Surgères,-0.762054,46.113252
StopArea:OCE87485300,Niort,-0.454639,46.319491
StopArea:OCE87485490,Saint-Maixent-L'École,-0.20132,46.406482
StopArea:OCE87486019,La Roche-sur-Yon,-1.43566,46.672075
StopArea:OCE87486449,Les Sables-d'Olonne,-1.781116,46.500032
StopArea:OCE87487603,Saumur,-0.071403,47.268994
StopArea:OCE87571000,Tours,0.692831,47.389866
StopArea:OCE87571216,Vendôme - Villiers-sur-Loir,1.021143,47.821937
StopArea:OCE87571240,Saint-Pierre-des-Corps,0.723539,47.38614
StopArea:OCE87575001,Poitiers,0.333136,46.582232
StopArea:OCE87575142,Châtellerault,0.549279,46.818594
StopArea:OCE87581009,Bordeaux Saint-Jean,-0.556697,44.825873
StopArea:OCE87582478,Biganos Facture,-0.96621,44.637384
StopArea:OCE87582643,La Teste,-1.14297,44.636966
StopArea:OCE87582668,Arcachon,-1.165323,44.658967
StopArea:OCE87583005,Angoulême,0.164608,45.653572
StopArea:OCE87584052,Libourne,-0.236359,44.915904
StopArea:OCE87586008,Agen,0.620867,44.207967
StopArea:OCE87611004,Toulouse Matabiau,1.453616,43.611206
StopArea:OCE87611244,Montauban Ville Bourbon,1.341499,44.01444
StopArea:OCE87615286,Carcassonne,2.351824,43.218029
StopArea:OCE87671008,Tarbes,0.069442,43.239863
StopArea:OCE87671339,Lourdes,-0.042186,43.100429
StopArea:OCE87672006,Pau,-0.369675,43.291711
StopArea:OCE87672253,Orthez,-0.76776,43.484242
StopArea:OCE87673004,Bayonne,-1.470368,43.496793
StopArea:OCE87673202,Dax,-1.050301,43.720472
StopArea:OCE87673400,Biarritz,-1.545937,43.459387
StopArea:OCE87677005,Hendaye,-1.781724,43.353132
StopArea:OCE87677120,Saint-Jean-de-Luz - Ciboure,-1.661181,43.385862
StopArea:OCE87686006,Paris Gare de Lyon Hall 1 - 2,2.373481,48.844945
StopArea:OCE87688887,Montpellier Sud de France,3.924009,43.595146
